INFO 2012-08-16 14:02:36,585 views 5224 6916 test
INFO 2012-08-16 14:02:39,302 views 5224 4820 test
INFO 2012-08-16 14:05:10,963 views 6460 5164 sending notification
INFO 2012-08-16 14:05:38,105 views 6460 6964 sending notification
INFO 2012-08-16 14:06:22,484 views 6188 2160 sending notification
INFO 2012-08-16 14:07:09,009 views 4956 5292 sending notification
INFO 2012-08-17 15:12:13,953 views 3672 3440 load_photo
INFO 2012-08-17 15:12:13,967 views 3672 3440 Got file: "IMG_16082012_175902.png"
INFO 2012-08-17 15:12:14,013 views 3672 3440 File saving done
INFO 2012-08-17 15:21:50,796 views 3672 3516 load_photo
INFO 2012-08-17 15:21:50,805 views 3672 3516 Got file: "IMG_16082012_175902.png"
INFO 2012-08-17 15:21:50,987 views 3672 3516 File saving done
INFO 2012-08-17 15:22:56,286 views 3672 2924 load_photo
INFO 2012-08-17 15:22:56,311 views 3672 2924 Got file: "IMG_16082012_175902.png"
INFO 2012-08-17 15:22:56,378 views 3672 2924 File saving done
INFO 2012-08-17 15:23:27,736 views 3672 2712 load_photo
INFO 2012-08-17 15:23:27,766 views 3672 2712 Got file: "IMG_16082012_175902.png"
INFO 2012-08-17 15:23:27,938 views 3672 2712 File saving done
INFO 2012-08-17 15:24:10,628 views 5096 4872 load_photo
INFO 2012-08-17 15:24:10,638 views 5096 4872 Got file: "IMG_16082012_175902.png"
INFO 2012-08-17 15:24:10,694 views 5096 4872 File saving done
INFO 2012-08-17 15:24:38,423 views 5096 5020 load_photo
INFO 2012-08-17 15:24:38,454 views 5096 5020 Got file: "IMG_16082012_175902.png"
INFO 2012-08-17 15:24:38,625 views 5096 5020 File saving done
INFO 2012-08-17 15:24:57,601 views 5096 3652 load_photo
INFO 2012-08-17 15:24:57,615 views 5096 3652 Got file: "IMG_16082012_175902_1.png"
INFO 2012-08-17 15:24:57,760 views 5096 3652 File saving done
INFO 2012-08-17 15:25:00,565 views 5096 4356 load_photo
INFO 2012-08-17 15:25:00,638 views 5096 4356 Got file: "IMG_0515_2.JPG"
INFO 2012-08-17 15:25:00,710 views 5096 4356 File saving done
INFO 2012-08-17 15:25:10,861 views 5096 4916 load_photo
INFO 2012-08-17 15:25:10,892 views 5096 4916 Got file: "980u_2.jpg"
INFO 2012-08-17 15:25:11,046 views 5096 4916 File saving done
INFO 2012-08-17 15:25:51,266 views 5096 4568 load_photo
INFO 2012-08-17 15:25:51,266 views 5096 4396 load_photo
INFO 2012-08-17 15:25:51,266 views 5096 2288 load_photo
INFO 2012-08-17 15:25:51,266 views 5096 4184 load_photo
INFO 2012-08-17 15:25:51,266 views 5096 3940 load_photo
INFO 2012-08-17 15:25:51,313 views 5096 4184 Got file: "IMG_16082012_175902.png"
INFO 2012-08-17 15:25:51,313 views 5096 3940 Got file: "x_e9967041_1_1.jpg"
INFO 2012-08-17 15:25:51,323 views 5096 4568 Got file: "980u_2_1.jpg"
